Medlemsnummer,Postnummer,Postort,Land
3318378,1000,Bryssel,Belgien
3318377,1000,Bryssel,Belgien
3318343,1000,Brussels,Belgien
3318379,1030,Bruxelles,Belgien
3318342,1190,Forest,Belgien
3243851,2200,København N,Danmark
3395008,3020,"Meycauayan City, Bulacan",Filippinerna
3230420,9010,TROMSØ,Norge
3134273,9010,TROMSØ,Norge
3322755,22605,Hamburg,Tyskland
3379002,111 38,Stockholm,Sverige
3287235,112 15,Stockholm,Sverige
3357496,112 23,Stockholm,Sverige
3124993,112 31,Stockholm,Sverige
3442600,112 33,Stockholm,Sverige
3341209,112 43,Stockholm,Sverige
3408574,112 44,Stockholm,Sverige
3203814,112 47,Stockholm,Sverige
3347257,112 54,Stockholm,Sverige
3002122,112 55,Stockholm,Sverige
3295994,112 56,Stockholm,Sverige
3219130,112 59,Stockholm,Sverige
3300924,112 64,Stockholm,Sverige
3341389,112 64,Stockholm,Sverige
3321160,113 23,Stockholm,Sverige
3336955,113 23,Stockholm,Sverige
3422252,113 26,Stockholm,Sverige
3396652,113 26,Stockholm,Sverige
3138636,113 35,Stockholm,Sverige
3353519,113 45,Stockholm,Sverige
3387739,113 47,Stockholm,Sverige
3396218,113 47,Stockholm,Sverige
3325927,113 48,Stockholm,Sverige
3360405,113 49,Stockholm,Sverige
3335097,113 51,Stockholm,Sverige
3323053,113 52,Stockholm,Sverige
3369579,113 52,Stockholm,Sverige
3321563,113 53,Stockholm,Sverige
3417167,113 61,Stockholm,Sverige
3323205,113 62,Stockholm,Sverige
3321478,113 62,Stockholm,Sverige
3388092,113 67,Stockholm,Sverige
3379776,114 21,Stockholm,Sverige
3371304,114 30,Stockholm,Sverige
3412855,114 32,Stockholm,Sverige
3345188,114 59,Stockholm,Sverige
3345186,115 20,Stockholm,Sverige
3268460,115 24,Stockholm,Sverige
3324175,115 25,Stockholm,Sverige
3369485,115 36,Stockholm,Sverige
3143205,115 50,Stockholm,Sverige
3237548,115 51,Stockholm,Sverige
3363338,115 51,Stockholm,Sverige
3362761,116 20,Stockholm,Sverige
3354216,116 22,Stockholm,Sverige
3328147,116 24,Stockholm,Sverige
3341118,116 32,Stockholm,Sverige
3431145,116 33,Stockholm,Sverige
3364994,116 40,Stockholm,Sverige
3371613,116 47,Stockholm,Sverige
3326812,116 68,Stockholm,Sverige
3357155,117 26,Stockholm,Sverige
3497168,117 27,Stockholm,Sverige
3323853,117 27,Stockholm,Sverige
3385772,117 28,Stockholm,Sverige
3382325,117 28,Stockholm,Sverige
3183895,117 28,Stockholm,Sverige
3322606,117 30,Stockholm,Sverige
3369359,117 31,Stockholm,Sverige
3390663,117 31,Stockholm,Sverige
3322672,117 31,Stockholm,Sverige
3360649,117 40,Stockholm,Sverige
3336962,117 41,Stockholm,Sverige
3336961,117 41,Stockholm,Sverige
3358691,117 41,Stockholm,Sverige
3337455,117 50,Stockholm,Sverige
3326029,117 50,Stockholm,Sverige
3307302,117 56,Stockholm,Sverige
3342913,117 58,Stockholm,Sverige
3383613,117 59,Stockholm,Sverige
3340871,117 59,Stockholm,Sverige
3324555,117 59,Stockholm,Sverige
3407118,117 61,Stockholm,Sverige
3358801,117 67,Stockholm,Sverige
3357350,117 68,Stockholm,Sverige
3329491,117 69,Stockholm,Sverige
3372797,117 69,Stockholm,Sverige
3308106,117 69,Stockholm,Sverige
3278702,117 69,Stockholm,Sverige
3406312,117 71,Stockholm,Sverige
3290511,118 23,Stockholm,Sverige
3363845,118 23,Stockholm,Sverige
3362661,118 23,Stockholm,Sverige
3331769,118 26,Stockholm,Sverige
3331768,118 26,Stockholm,Sverige
3427826,118 27,Stockholm,Sverige
3421824,118 42,Stockholm,Sverige
3388747,118 42,Stockholm,Sverige
3338205,118 48,Stockholm,Sverige
3338226,118 48,Stockholm,Sverige
3341954,118 48,Stockholm,Sverige
3368401,118 51,Stockholm,Sverige
3385053,118 52,Stockholm,Sverige
3143842,118 53,Stockholm,Sverige
3322680,118 53,Stockholm,Sverige
3491723,118 53,Stockholm,Sverige
3341057,118 55,Stockholm,Sverige
3365757,118 55,Stockholm,Sverige
3325450,118 56,Stockholm,Sverige
3331779,118 58,Stockholm,Sverige
3430999,118 58,Stockholm,Sverige
3321603,118 58,Stockholm,Sverige
3198609,118 63,Stockholm,Sverige
3330072,118 63,Stockholm,Sverige
3373751,118 63,Stockholm,Sverige
3366455,118 63,Stockholm,Sverige
3316713,118 64,Stockholm,Sverige
3363233,118 64,Stockholm,Sverige
3339509,120 38,Årsta,Sverige
3373011,120 39,Årsta,Sverige
3330959,120 47,Enskede,Sverige
3440795,120 48,Enskede gård,Sverige
3338219,120 50,Årsta,Sverige
3359195,120 51,Årsta,Sverige
3318720,120 51,Årsta,Sverige
3358665,120 51,Årsta,Sverige
3451484,120 53,Årsta,Sverige
3139723,120 53,Årsta,Sverige
3362904,120 53,Årsta,Sverige
3342728,120 53,Årsta,Sverige
3371816,120 56,Årsta,Sverige
3366262,120 56,Årsta,Sverige
3317732,120 56,Årsta,Sverige
3363993,120 57,Årsta,Sverige
3368964,120 65,Stockohlm,Sverige
3385953,120 70,Stockholm,Sverige
3361489,120 70,Stockholm,Sverige
3447199,121 32,Enskededalen,Sverige
3188648,121 32,Enskededalen,Sverige
3447198,121 32,Enskededalen,Sverige
3324563,121 32,Enskededalen,Sverige
3346621,121 33,Enskededalen,Sverige
3359523,121 34,Enskededalen,Sverige
3396832,121 34,Enskededalen,Sverige
3411427,121 39,Johanneshov,Sverige
3460456,121 45,Johanneshov,Sverige
3372216,121 49,Johanneshov,Sverige
3369986,121 51,Johanneshov,Sverige
3323733,121 51,Johanneshov,Sverige
3308444,121 52,Johanneshov,Sverige
3367605,121 52,Johanneshov,Sverige
3363387,121 52,Johanneshov,Sverige
3324565,121 54,Johanneshov,Sverige
3358031,121 55,Johanneshov,Sverige
3346615,121 55,Johanneshov,Sverige
3334803,122 37,Enskede,Sverige
